Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,TEI-TEO,TCO-TCI,fault level,Label,Condition block
16900,50,53.52,53.6,50.1,50.3,62.52,62.3,65.67,65.4,64.7,59.34,53.37,53.64,35.6,10.95,60.56,-35.91,30.62,29.3,2.482,1.162,32.69,3.293,1.068,271.2,215.3,8.1,2,42,37.1,67.4,67.5,3.5,49.3,7.1,125.2,57.8,30.9,38,37,15.18,12.13,11.36,20,0,114,110.1,131,93,3.1,3.5,30,0,100,40,47,56,52,55.44,59.26,54.6,54.13,68.79,59.56,140,3.4200000000000017,3.1499999999999986,Normal,100,27
16900,50,53.47,53.6,50.1,50.1,62.52,62.3,65.71,65.4,64.66,59.34,53.37,53.64,36.06,11.88,60.1,-35.91,30.17,29.22,2.475,1.524,32.69,3.244,1.084,271.2,214.7,8,2.3,42.1,37.2,67.7,68,3.5,49.5,7.4,124.7,57.5,30.4,38,37,11.95,9.427,11.36,20,0,114.2,110.1,131,92,3.2,3.5,30,0,100,40,47,56,52,55.48,59.18,54.56,54.13,77.09,59.39,139.4,3.369999999999997,3.1899999999999906,Normal,100,27
16900,50,53.47,53.6,50.1,50.1,62.52,62.5,65.71,65.6,64.66,59.34,53.37,53.64,35.98,11.85,59.97,-35.83,30.25,29.3,2.482,1.528,32.7,3.253,1.081,270.6,215.3,8.1,1.8,42,37.1,67.4,67.5,3.2,49.3,7.3,125.2,57.6,30.4,38,37,12.55,9.919,11.36,20,0,114,110.3,131,93,3.1,3.5,30,0,100,40,47,56,57,55.48,59.22,54.56,54.09,76.07,59.56,138.4,3.369999999999997,3.1899999999999906,Normal,100,27
16900,50,53.47,53.6,50.1,50.1,62.52,62.3,65.67,65.4,64.66,59.34,53.37,53.64,35.38,11.34,59.72,-35.69,30.29,29.34,2.485,1.531,32.71,3.257,1.08,269.5,215.6,8.3,1.8,42,37.1,67.4,67.5,3.2,49.3,7.2,125,57.6,30.8,37,36,14.83,11.93,11.53,20,0,114.2,110.1,130.5,92.5,2.9,3.3,30,0,100,40,47,56,52,55.44,59.3,54.56,54.13,70.5,59.64,137.1,3.369999999999997,3.1499999999999986,Normal,100,27
16900,50,53.47,53.6,50.1,50.1,62.52,62.3,65.71,65.6,64.7,59.34,53.37,53.64,35.9,11.36,60.29,-35.75,30.42,29.46,2.495,1.537,32.71,3.27,1.075,269.9,216.5,8.1,1.8,42,37.1,67.4,67.5,4.1,49.3,7.2,125.2,57.6,30.9,38,37,13.45,10.65,11.36,20,0,114.2,110.3,130,91.6,3.3,3.5,30,0,100,40,47,56,52,55.44,59.3,54.6,54.13,70.62,59.89,138,3.369999999999997,3.1899999999999906,Normal,100,27
16900,50,53.47,53.6,50.1,50.1,62.48,62.5,65.67,65.6,64.7,59.34,53.37,53.64,36,10.93,60.46,-35.39,30.25,29.3,2.481,1.528,32.67,3.255,1.08,270.7,215.3,8.1,1.8,42,37.1,67.4,67.5,3.2,49.3,7.2,125,57.6,30.9,38,37,12.43,9.821,11.36,20,0,114.2,110.3,131.5,93.5,3.1,3.5,30,0,100,40,47,56,57,55.44,59.3,54.6,54.13,67.95,59.55,139.6,3.369999999999997,3.190000000000005,Normal,100,27
17300,44,53.47,53.6,50.06,50.1,62.52,62,65.71,65.3,64.7,59.34,53.37,53.6,36.62,11.59,61.5,-36.47,30.7,29.74,2.12,1.164,34.71,3.109,1.131,275.4,215.8,9.3,3.2,40.6,35.6,68.5,69,4.8,49.3,8.5,124.7,56.5,34.2,42,40,13.88,10.78,10.89,20,0,114.5,110.7,129.5,93.1,3.4,3.5,40,96.61,100,83.31,55.9,56,20,55.44,59.51,54.64,54.09,68.42,50.87,142.2,3.4099999999999966,3.1899999999999906,Normal,100,28
19700,44,56.01,56.1,46.7,46.6,85.21,85.1,94.09,93.9,91.6,73.39,55.33,56.18,98.76,27.62,202.5,-131.4,82.85,76.8,7.564,1.517,80.87,3.602,0.9761,266.8,213.6,6.6,5.6,40,35,99.5,123.1,8.9,43.6,3.8,123.7,24.2,87.8,96,92,24.92,7.176,5.448,20,0,115.7,111.1,144.9,106.6,9,9.5,60,0,100,35,49,56,30.98,55.98,79.08,61.6,58.97,28.69,68.81,165.6,9.309999999999995,8.88000000000001,Normal,100,29
19700,44,56.01,56.1,46.7,46.6,85.21,84.9,94.09,93.9,91.65,73.39,55.33,56.18,99.01,27.23,203.5,-131.7,83.32,77.23,7.607,1.525,81.03,3.615,0.9725,267.5,214.8,6.6,5.1,40,35,99.2,122.6,9.1,43.6,3.6,123.5,24.5,87.6,96,92,25.86,7.429,5.448,20,0,115.7,111.1,143.9,108.1,9,9.5,60,0,100,35,49,56,31,55.98,79.08,61.56,58.97,28.28,70.29,166,9.309999999999995,8.88000000000001,Normal,100,29
19700,45,56.01,56.3,46.7,46.6,85.25,84.9,94.05,93.9,91.6,73.39,55.33,56.18,97.75,27.13,202.3,-131.7,83.54,77.44,7.627,1.53,79.94,3.674,0.9569,266.5,215.4,6.7,5.6,40.1,35.1,99.5,123.1,9.2,43.6,3.3,123.5,23.7,87.7,93,89,29.99,8.727,5.704,20,0,115.6,111.3,138.5,102.6,8.6,9.5,50,0,100,20,49,56,26,55.98,78.96,61.56,58.92,28.33,69.39,164.5,9.309999999999995,8.799999999999997,Normal,100,30
19700,45,56.01,56.1,46.7,46.6,85.33,87,94.09,94.6,91.6,73.31,55.29,56.14,97.82,27.74,204.3,-134.2,83.56,77.09,7.628,1.162,77.56,3.788,0.9283,268,215.4,6,5.9,40.6,35.6,100.7,125.6,10.6,43.8,3.4,123.5,22.5,90.2,90,86,27.4,7.968,5.964,20,0,115.6,111.1,137,101.1,7.3,9.5,50,0,100,20,49,56,41,55.98,78.92,60.58,58.92,29.02,110.6,166.9,9.309999999999995,8.760000000000005,Normal,100,31
20400,45,51.3,51.2,45.23,45.1,85.25,85.1,91.1,91,89.07,63.81,50.67,51.47,65.24,22.67,281.5,-238.9,54.72,48.97,7.287,1.535,58.98,3.262,1.078,267.5,216.2,5,3.3,40.3,35.3,94.3,112.7,6.3,43.6,3.3,126.8,32.5,77.4,68,65,22.02,9.6,7.914,20,0,116,111.1,141.4,105.3,6.1,5.9,70,0,100,20,49,56,26,56.02,78.55,56.49,54.05,24.14,71.87,221,6.07,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.23,45.3,85.25,84.9,91.1,90.8,89.11,63.85,50.62,51.43,65.67,22.36,283.4,-240.1,54.55,48.45,7.264,1.162,59.06,3.247,1.083,269.3,215.5,5.2,3.7,40.4,35.1,94.3,112.7,6.3,43.6,3.5,127.1,32.5,78.1,68,65,19.94,8.637,7.914,20,0,116,111.3,143.9,108.1,5.7,6.1,70,0,100,20,49,56,26,56.02,78.63,56.49,54.09,23.73,72.86,223.2,6.07,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.23,45.1,85.29,84.9,91.1,90.8,89.11,63.85,50.62,51.47,64.84,22.23,281.8,-239.2,54.13,48.08,7.573,1.518,58.99,3.227,1.09,267.7,213.9,5,3.5,40.3,35.3,94.3,112.7,6.3,43.6,3.6,127.1,32.5,77.6,68,65,21.33,9.355,7.914,20,0,116,111.3,140.4,104.6,5.7,6.1,70,0,100,20,49,56,26,56.02,78.67,56.49,54.05,23.55,74.69,222.1,6.07,5.809999999999988,Normal,100,32
20500,45,51.3,51.4,45.27,45.3,85.29,84.9,91.1,90.8,89.11,63.85,50.62,51.47,64.92,22.26,282.1,-239.5,54.29,48.18,7.647,1.533,58.97,3.237,1.086,268.1,216,5.2,3.5,40.1,35.1,94.3,112.7,6.5,43.6,3.5,126.8,32.8,77.4,68,65,21.61,9.467,7.914,20,0,116,111.3,140.4,104.3,5.7,6.1,70,0,100,20,49,56,26,56.02,78.71,56.49,54.09,23.54,76.71,222.3,6.029999999999994,5.809999999999988,Normal,100,32
20500,45,51.3,51.4,45.27,45.1,85.29,85.1,91.14,90.8,89.11,63.81,50.67,51.47,65.72,22.83,284.1,-241.2,53.88,48.18,7.224,1.522,58.87,3.218,1.093,269.5,214.3,5,3.5,40.1,35.1,94.3,112.7,6.2,43.6,3.5,126.8,33.1,77.1,68,65,17.24,7.46,7.914,20,0,116.2,111.1,142.9,106.6,5.7,6.3,70,0,100,20,49,56,26,56.06,78.71,56.49,54.05,24.19,71.24,223.8,6.029999999999994,5.849999999999994,Normal,100,32
20500,45,51.3,51.6,45.27,45.1,85.29,85.1,91.14,91,89.11,63.85,50.62,51.43,65.03,22.59,280.6,-238.2,54.1,48.01,7.253,1.16,59.14,3.216,1.093,266.6,215.2,5.1,3,40,35,94,112.2,6.5,43.6,3.5,127.1,32.8,77.1,68,65,20.72,9.061,7.914,20,0,116,111.1,140.4,104.6,5.9,6.5,70,0,100,20,49,56,26,56.06,78.75,56.49,54.09,23.89,72.75,221,6.029999999999994,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.27,45.1,85.29,84.9,91.1,91,89.11,63.81,50.67,51.47,64.83,22.22,282.2,-239.6,54,48.28,7.239,1.525,58.96,3.22,1.092,267.7,214.8,4.9,3,40.4,35.4,94,112.2,6.5,43.4,3.3,126.8,32.8,77.6,68,65,20.89,9.165,7.914,20,0,116,111.3,140.9,104.8,6.1,6.1,70,0,100,20,49,56,26,56.06,78.79,56.53,54.05,23.46,70.22,221.9,6.029999999999994,5.809999999999988,Normal,100,32
20500,45,51.3,51.4,45.23,45.1,85.29,85.3,91.14,91,89.15,63.81,50.62,51.47,65.83,22.41,285,-241.6,54.36,48.28,7.605,1.525,59.1,3.234,1.087,269.9,214.8,5.3,3.3,40,35,94.3,112.7,6.5,43.6,3.6,126.8,32.5,77.6,68,66,18.75,8.101,7.814,20,0,116,111.3,142.9,106.6,5.9,6.1,70,0,100,20,49,56,30,56.06,78.79,56.49,54.05,23.66,75,224.2,6.07,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.23,45.1,85.29,85.1,91.14,90.8,89.15,63.85,50.62,51.47,65.69,22.36,283.9,-240.6,54.5,48.4,7.625,1.529,59.02,3.247,1.083,269.3,215.3,4.8,3.5,40.3,35.3,94.3,112.7,6.3,43.8,3.7,127.1,32.8,77.6,68,65,19.69,8.525,7.914,20,0,116.2,111.3,140.4,104.5,5.5,6.3,70,0,100,20,49,56,26,56.06,78.79,56.49,54.05,23.61,75.2,223.4,6.07,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.23,45.3,85.29,85.1,91.14,91,89.15,63.85,50.62,51.47,65.8,22.4,284.4,-241,54.82,48.69,7.669,1.537,59,3.267,1.076,269.8,216.6,5.2,3,40.1,35.1,94,112.2,6,43.6,3.5,126.8,33.1,77.1,68,65,20.39,8.812,7.914,20,0,116,111.3,141.4,105.5,6.1,6.1,70,0,100,20,49,56,26,56.02,78.79,56.49,54.09,23.6,76.93,223.6,6.07,5.849999999999994,Normal,100,32
20500,45,51.3,51.4,45.23,45.3,85.29,84.9,91.14,90.8,89.15,63.85,50.67,51.47,65.56,22.32,283.4,-240.1,54.45,48.72,7.25,1.527,59.05,3.242,1.085,268.8,215.1,5.2,3.2,40.1,35.1,94,112.2,6,43.8,3.7,127.1,32.8,77.1,69,66,19.96,8.66,7.814,20,0,116.2,111.1,140.9,106.5,5.9,6.3,70,0,100,20,49,56,26,56.02,78.75,56.44,54.09,23.56,74,222.6,6.07,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.27,45.3,85.29,84.9,91.14,90.8,89.11,63.89,50.62,51.47,65.7,22.83,283,-240.2,54.04,47.95,7.611,1.526,59.11,3.214,1.094,269.4,214.9,5.1,3.2,40,35,94,112.2,6.5,43.6,3.5,127.1,33.1,77.1,68,65,18.11,7.84,7.914,20,0,116.2,111.1,141.4,105.5,5.9,6.3,70,0,100,20,49,56,26,56.02,78.63,56.44,54.09,24.22,77.68,223.7,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.6,45.27,45.3,85.29,84.9,91.14,91,89.11,63.85,50.67,51.47,65.59,22.79,283.1,-240.3,54.43,48.67,7.298,1.537,59.13,3.237,1.086,268.9,216.5,5.1,3.3,40,35,94.3,112.7,6.3,43.6,3.6,127.1,32.5,77.6,68,65,19.89,8.623,7.914,20,0,116.2,111.1,143.4,107.9,6.1,6.5,70,0,100,20,49,56,26,56.02,78.55,56.44,54.05,24.27,73.2,222.7,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.27,45.3,85.29,84.9,91.14,91,89.11,63.85,50.67,51.47,65.69,22.82,283.5,-240.6,53.9,48.2,7.226,1.522,58.81,3.222,1.091,269.3,214.4,5.1,3,40,35,94.5,112.2,6.5,43.6,3.6,127.1,32.3,77.2,68,65,17.36,7.514,7.914,20,0,116.2,111.1,143.4,107.5,5.9,6.3,70,0,100,20,49,56,26,56.06,78.59,56.44,54.05,24.31,72.49,223.6,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.23,45.1,85.29,85.1,91.14,90.8,89.11,63.85,50.67,51.47,65.57,22.78,282.9,-240.2,54.28,48.57,7.228,1.522,58.92,3.239,1.086,268.8,214.4,5.2,3.2,40.3,35.3,94,112.2,6.5,43.4,3.3,127.1,33.1,77.2,68,65,19.23,8.342,7.914,20,0,116,111.1,142.9,106.8,5.7,6.1,70,0,100,20,49,56,26,56.02,78.63,56.44,54.05,24.18,72.5,222.7,6.07,5.849999999999994,Normal,100,32
20600,45,51.3,51.6,45.23,45.1,85.25,84.9,91.14,90.8,89.15,63.85,50.62,51.47,66.2,22.38,284.2,-240.3,54.04,48,7.56,1.516,58.94,3.223,1.091,269.6,213.5,5.1,3.5,40,35,94.3,112.7,6,43.6,3.5,127.1,32.8,76.9,68,65,16.18,6.95,7.914,20,0,116,111.3,139.9,107.3,5.9,6.5,70,0,100,20,49,56,26,56.02,78.67,56.44,54.05,23.71,75.84,224,6.07,5.890000000000001,Normal,100,32
20600,45,51.3,51.4,45.27,45.1,85.29,85.1,91.14,90.8,89.15,63.85,50.67,51.47,65.47,22.29,283,-239.8,53.89,48.19,7.225,1.522,59.02,3.211,1.095,268.4,214.4,5,3.5,40.1,35.1,94.3,112.7,6.2,43.6,3.3,126.8,32.5,77.1,68,65,18.33,7.964,7.914,20,0,116,111.3,141.4,105.9,5.7,6.3,70,0,100,20,49,56,26,56.02,78.71,56.44,54.05,23.57,72.48,222.7,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.31,45.3,85.33,85.1,91.18,90.8,89.15,63.85,50.67,51.47,65.88,22.89,284.8,-241.8,53.76,48.03,7.257,1.529,59.11,3.198,1.099,270.1,215.3,5.2,3.7,40,35,94.5,113.2,6.5,43.6,3.5,127.1,32.6,77.1,68,65,16.51,7.126,7.914,20,0,116,111.3,141.4,105.8,5.7,6.1,70,0,100,20,49,56,26,56.02,78.75,56.44,54.05,24.16,72.8,224.6,5.989999999999995,5.8500000000000085,Normal,100,32
20600,45,51.3,51.4,45.27,45.3,85.29,85.1,91.14,91,89.15,63.85,50.67,51.47,65.53,22.31,283.3,-240,53.92,48.21,7.229,1.523,59.15,3.205,1.097,268.7,214.5,5.2,3.3,40.1,35.1,94.3,112.7,6.3,43.6,3.3,126.8,32.8,77.6,68,65,18.33,7.954,7.914,20,0,116,111.3,143.4,105,5.9,6.1,70,0,100,20,49,56,26,56.02,78.79,56.44,54.05,23.51,72.51,223,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.27,45.1,85.29,85.1,91.14,91,89.19,63.85,50.67,51.47,65.45,21.83,283.4,-239.7,54.11,48.38,7.255,1.528,59.16,3.216,1.093,268.4,215.2,4.8,3.3,40.3,35.3,94.3,112.7,6.8,43.8,3.7,127.1,32,77.6,68,65,19.28,8.376,7.914,20,0,116.2,111.3,142.9,107.1,5.7,6.3,70,0,100,20,49,56,26,56.02,78.83,56.44,54.05,22.96,72.77,222.6,6.029999999999994,5.849999999999994,Normal,100,32
20600,45,51.3,51.4,45.23,45.3,85.33,85.3,91.14,91,89.19,63.85,50.67,51.47,65.11,21.87,283.9,-240.6,54.6,48.86,7.271,1.531,59.11,3.248,1.083,268.9,215.7,5.2,3,40.1,35.1,94,112.2,6.3,43.6,3.5,127.1,32.8,77.4,68,65,22.14,9.672,7.914,20,0,116.2,111.1,141.9,105.5,5.9,6.1,70,0,100,20,49,56,30,56.02,78.88,56.44,54.05,22.96,72.93,222.6,6.07,5.810000000000002,Normal,100,32
20700,45,51.3,51.2,45.27,45.1,85.33,84.9,91.14,90.8,89.15,63.85,50.67,51.47,65.11,22.32,283.4,-240.6,53.97,48.26,7.236,1.524,59.14,3.209,1.096,268.8,214.7,5.2,3.5,40.1,35.1,94.3,112.7,6.3,43.6,3.3,127.1,32.8,77.6,68,65,19.99,8.734,7.914,20,0,116.4,111.1,141.9,105.5,5.7,6.3,70,0,100,20,49,56,26,55.98,78.88,56.44,54.05,23.39,72.58,223.1,6.029999999999994,5.810000000000002,Normal,100,32
20700,45,51.3,51.4,45.27,45.1,85.29,85.1,91.14,91,89.19,63.85,50.62,51.52,65.71,21.91,284.5,-240.7,54.22,48.11,8.005,1.899,59.26,3.217,1.093,269.4,215.7,5,3,40.1,35.1,94,112.2,6,43.6,3.6,127.1,33.1,78.1,69,66,18.85,8.159,7.814,20,0,116,111.3,143.4,107.3,5.9,6.3,70,0,100,20,49,56,26,56.02,78.88,56.44,54.05,23,80.3,223.9,6.029999999999994,5.849999999999994,Normal,100,32
20700,45,51.3,51.4,45.23,45.3,85.29,84.9,91.14,91,89.11,63.89,50.67,51.47,65.66,22.81,282.9,-240,54.57,48.83,7.267,1.531,59.04,3.25,1.082,269.2,215.6,5,3.5,40.1,35.1,94.3,112.7,6,43.6,3.5,126.8,32.8,77.7,68,65,20.06,8.69,7.914,20,0,116.2,111.1,142.9,106.6,6.1,6.3,70,0,100,20,49,56,26,56.02,78.79,56.44,54.05,24.04,72.89,222.7,6.07,5.849999999999994,Normal,100,32
20700,45,51.3,51.4,45.27,45.1,85.29,85.1,91.18,90.8,89.11,63.85,50.67,51.43,66.05,23.25,283.1,-240.3,54.21,48.48,6.9,1.163,59,3.231,1.088,268.9,215.6,5,3.5,40.3,35.3,94.3,112.7,6.3,43.6,3.6,126.8,32.8,77.6,68,65,17.38,7.484,7.914,20,0,116.4,111.1,141.9,105.8,5.7,6.3,70,0,100,20,49,56,26,56.02,78.67,56.44,54.05,24.63,69.22,222.9,6.029999999999994,5.890000000000001,Normal,100,32
20700,45,51.3,51.4,45.27,45.1,85.29,85.1,91.14,90.8,89.11,63.85,50.67,51.47,65.13,22.63,281.1,-238.6,53.95,48.24,7.232,1.523,58.98,3.216,1.093,267.1,214.6,5,3.2,40.1,35.1,94,112.2,6.3,43.6,3.6,127.1,32.8,77.6,68,65,19.65,8.579,7.914,20,0,116.2,111.1,140.4,103.8,5.9,6.3,70,0,100,20,49,56,26,56.02,78.63,56.44,54.05,24.02,72.55,221.2,6.029999999999994,5.849999999999994,Normal,100,32
23300,45,49.13,49.1,45.68,45.6,85.04,84.9,88.6,88.5,87.31,58.32,49.03,49.3,40.2,14.64,327.2,-301.7,30.87,29.92,2.471,1.523,44.58,2.435,1.444,271,214.5,4.6,2,41,36.1,90.5,105.2,4.2,45.1,3.9,140.7,50.8,68.8,51,49,11.78,8.336,9.675,20,0,119.5,114,140.9,103.8,3.6,3.5,20,0,100,5,49,56,20,56.38,80.59,49.89,49.71,14.51,59.32,246.2,3.450000000000003,3.559999999999988,Normal,100,33
23300,45,49.09,49.1,45.68,45.6,85.04,84.8,88.6,88.3,87.35,58.32,49.03,49.3,40.12,14.15,327.1,-301.1,30.59,30.01,2.479,1.894,44.6,2.411,1.458,270.5,215.1,4.2,2.2,41,36.3,90.5,105.2,4.7,45.1,4.1,141,50.5,69.1,51,49,11.08,7.857,9.675,20,0,119.5,114,140.9,103.7,3.5,3.7,0,0,100,20,49,56,20,56.38,80.59,49.89,49.71,14.03,59.49,245.7,3.410000000000004,3.559999999999988,Normal,100,33
24400,44,55.97,56.1,45.15,45.1,75.22,75,85.49,85.3,82.97,73.51,55.25,56.1,114.5,28.13,105.3,-18.98,97.51,91.02,7.656,1.166,79.12,4.333,0.8115,267.3,216.2,7.2,5.9,37.7,33,91.5,107.2,9.5,41.5,3.8,113.1,21.4,73.7,93,89,19.52,4.851,5.704,20,0,114.5,111.3,139,103.8,10.1,11.2,70,30,100,70,53,56,43,56.1,70.52,61.64,58.97,46.8,68.58,36.3,10.82,10.269999999999996,Normal,100,34
24400,44,56.01,56.1,45.15,44.9,75.22,75.2,85.49,85.3,83.01,73.51,55.21,56.1,114.5,27.69,105.8,-19,97.74,90.52,8.013,0.7958,79.15,4.342,0.8098,267.5,215.9,7.4,6.2,37.7,33,91.5,107.2,9.8,41.5,3.5,112.9,21.6,74.2,94,90,20.07,4.984,5.618,20,0,114.5,111.1,139.9,106.2,10.1,11,80,30,100,70,53,56,47,56.1,70.56,61.64,58.92,45.94,70.7,38.74,10.86,10.269999999999996,Normal,100,34
24400,44,55.97,56.1,45.11,44.9,75.26,75,85.53,85.1,83.01,73.51,55.21,56.06,114.8,28.21,106.1,-19.5,97.59,90.75,7.633,0.7946,79.36,4.324,0.8131,268.1,215.6,7.4,5.9,37.7,33,91.5,107.2,9.8,41.5,3.8,112.9,21.4,73.8,93,89,18.86,4.674,5.704,20,0,114.2,111.1,140.9,107.7,9.9,11,80,30,100,70,53,56,43,56.06,70.69,61.6,58.88,46.28,67.35,38.75,10.86,10.269999999999996,Normal,100,34
24400,44,55.97,56.1,45.11,44.9,75.22,75.2,85.49,85.3,83.01,73.55,55.21,56.1,114.6,27.71,105.5,-18.56,97.33,90.51,7.98,1.159,79.13,4.324,0.813,267.8,215,7.2,6.2,37.7,33,91.5,107.2,9.8,41.5,3.8,112.9,21.4,74.3,93,89,18.3,4.54,5.704,20,0,114.5,111.1,136.5,106.7,10.1,11.2,80,30,100,70,53,56,47,56.02,70.69,61.56,58.88,45.34,71.48,37.99,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75.4,85.53,85.1,83.05,73.55,55.25,56.1,114.2,27.62,105.6,-18.95,97.73,91.25,7.644,1.164,79.28,4.334,0.8112,266.8,215.9,7.3,6.4,37.6,32.9,91.5,107.2,9.7,41.5,3.8,113.1,21.4,74.2,93,89,21.24,5.289,5.704,20,0,114.2,110.9,140.4,106.9,9.9,11.2,80,30,100,70,53,56,47,56.06,70.65,61.56,58.92,45.43,69.54,36.18,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75.2,85.53,85.1,83.05,73.55,55.25,56.1,114.5,27.69,105.9,-19,97.28,90.83,7.609,1.159,79.26,4.315,0.8148,267.5,214.9,7.3,6.4,38,32.9,91.5,107.2,9.7,41.5,3.8,113.1,21.4,74.2,93,89,18.55,4.606,5.704,20,0,114.5,111.1,140.4,106.7,10.1,11.2,80,30,100,70,53,56,47,56.06,70.65,61.56,58.88,45.56,68.16,37.97,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75.2,85.53,85.1,83.05,73.55,55.25,56.06,114.3,27.64,105.6,-18.96,98.23,91.72,7.313,0.7998,79.19,4.361,0.8061,267,217,7.5,6.4,37.6,32.9,91.5,107.2,9.5,41.4,3.8,112.9,21.4,74.3,93,90,22.62,5.628,5.618,20,0,114.5,110.9,139.4,105.4,10.1,11.2,80,30,100,70,53,56,47,56.02,70.6,61.56,58.88,45.47,65.51,35.2,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75,85.57,85.1,83.01,73.55,55.17,56.06,115.1,28.62,105.5,-19.01,97.56,90.36,7.999,0.7944,79.31,4.325,0.8129,267.7,215.5,7.2,6.4,37.7,33,91.5,107.2,9.5,41.4,3.7,112.9,21.7,73.8,94,90,17.78,4.395,5.618,20,0,114.2,110.9,140.4,107,9.9,11.2,80,30,100,70,53,56,43,56.06,70.56,61.56,58.84,47.35,70.57,38.31,10.86,10.309999999999988,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75.2,85.53,85.3,82.97,73.55,55.21,56.06,114.3,28.55,104.7,-18.96,96.72,89.94,7.565,0.7875,79.3,4.288,0.8199,267,213.6,6.9,5.9,37.7,33.2,91.2,106.7,9.5,41.4,3.4,113.1,21.7,73.8,93,89,17.36,4.32,5.704,20,0,114.5,111.1,140.4,107.2,10.3,11.2,80,30,100,70,53,56,47,56.02,70.48,61.52,58.84,47.37,67.76,37.75,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.11,44.8,75.22,75,85.53,85.1,82.97,73.51,55.21,56.06,114.5,28.49,105,-18.92,97.41,90.58,7.619,0.7932,79.24,4.322,0.8135,266.4,215.2,7.2,6.1,37.7,33,91.2,106.7,9.7,41.4,4,113.1,21.7,74.3,93,89,19.05,4.732,5.704,20,0,114.2,110.9,138,104.6,9.9,11.2,80,30,100,70,53,56,43,56.02,70.44,61.52,58.84,47.4,68.25,36.5,10.86,10.310000000000002,Normal,100,34
24500,44,55.97,56.1,45.11,44.9,75.26,75,85.53,85.1,83.01,73.55,55.21,56.06,114,28.01,104.9,-18.91,97.39,90.56,7.617,0.793,79.16,4.326,0.8128,266.3,215.1,7.3,6.6,37.6,32.9,91.7,107.7,9.8,41.4,3.8,112.9,21.4,74.2,93,89,20.74,5.174,5.704,20,0,114.2,110.9,139.4,105.9,10.1,11.2,80,30,100,70,53,56,43,56.02,70.44,61.56,58.84,46.61,67.21,36.38,10.86,10.269999999999996,Normal,100,34
24500,44,55.97,56.1,45.07,44.9,75.22,75,85.53,85.3,83.01,73.55,55.21,56.06,115.2,28.21,105.6,-18.58,97.98,91.14,7.635,0.7948,79.33,4.343,0.8096,268.1,215.6,7.3,6.2,37.6,32.9,91.2,107.2,9.5,41.5,3.9,112.9,21.7,74.2,93,89,18.64,4.599,5.704,20,0,114.2,110.9,139,105.5,10.1,11.2,80,30,100,70,53,56,43,56.02,70.44,61.56,58.88,46.93,68.39,36.74,10.9,10.310000000000002,Normal,100,34
24500,44,55.97,56.1,45.07,44.9,75.22,75,85.53,85.1,82.97,73.55,55.21,56.06,115.5,28.72,105.4,-18.62,98.31,91.45,7.661,0.7975,79.24,4.362,0.806,268.6,216.4,7.3,6.4,37.6,32.9,91.5,107.2,9.7,41.4,3.7,113.1,21.6,74.2,93,89,18.96,4.669,5.704,20,0,114.2,110.7,139,105.6,9.9,11.2,80,30,100,70,53,56,43,55.98,70.52,61.6,58.84,47.38,66.59,35.46,10.9,10.310000000000002,Normal,100,34
24500,44,55.93,56.1,45.11,44.9,75.22,75.2,85.53,85.3,83.01,73.55,55.25,56.06,114.5,28.03,105,-18.46,97.65,91.52,7.298,1.168,79.29,4.33,0.812,266.4,216.5,7.2,6.2,37.6,32.9,91.5,107.2,9.5,41.5,3.9,112.9,21.7,74.2,93,89,19.98,4.962,5.704,20,0,114,110.9,139.9,106.5,10.1,11.3,80,30,100,70,53,56,47,55.98,70.56,61.56,58.88,46.11,65.37,34.1,10.82,10.310000000000002,Normal,100,34
